ID,starttime,endtime,age,profile_gender,profile_gross_household,profile_gross_personal,profile_marital_stat,profile_socialgrade_cie,profile_GOR,voted_ge_2019,pastvote_ge_2019,voted2017,pastvote_2017,profile_education_age,profile_education_level,lprofile_education_level,pastvote_EURef,WEIGHT,UoE_1,UoE_1_1,UoE_1_2,UoE_1_3,UoE_1_4,UoE_1_5,UoE_1_6,UoE_1_7,UoE_1_8,UoE_1_9,UoE_1_10,UoE_1_11,UoE_1_12,UoE_1_13,UoE_1_14,UoE_1_15,UoE_1_16,UoE_1_17,UoE_1_18,UoE_1_19,UoE_1_20,UoE_1_21,UoE_1_22,UoE_1_23,UoE_1_24,UoE_1_25,UoE_1_26,UoE_1_27,UoE_1_28,UoE_2,UoE_2_1,UoE_2_2,UoE_2_3,UoE_3,UoE_4,UoE_4_1,UoE_4_2,UoE_5,UoE_6
1,4/13/2021,4/13/2021,34,2,17,1,1,3,7,1,2,1,2,5,16,16,1,2.99410525823444, ,6,6,6,1,5,6,1,1,1,1,2,1,1,2,2,5,5,5,5,5,1,2,2,1,5,5,1,1, ,1,1,1,3, ,7,7,2,1
2,4/13/2021,4/13/2021,74,1,17,16,4,5,4,1,1,1,1,1,5,5,2,.674642701403435, ,6,6,6,2,2,5,2,1,1,1,1,2,2,3,2,5,3,4,4,4,1,2,4,2,6,1,2,5, ,2,2,2,1, ,1,7,2,1
3,4/13/2021,4/13/2021,56,1,11,8,1,2,9,1,7,1,3,5,17,17,1,.788946900801541, ,5,6,5,4,3,6,2,3,1,1,3,4,3,3,3,3,6,6,6,6,1,1,3,3,4,1,1,3, ,1,2,1,2, ,1,7,2,1
4,4/13/2021,4/13/2021,60,2,9,5,2,3,8,1,1,1,1,5,16,16,2,1.02757865696479, ,5,6,5,3,2,5,3,2,1,1,5,4,1,2,2,6,3,6,6,6,1,1,3,2,6,2,1,1, ,1,1,1,1, ,1,7,2,7
5,4/13/2021,4/13/2021,65,1,2,2,6,6,10,1,5,1,5,1,1,1,2,.610815138349357, ,6,6,6,5,4,6,1,4,1,1,4,1,1,3,3,4,4,5,3,3,1,1,1,3,6,2,1,2, ,1,2,1,1, ,1,1,2,7
6,4/13/2021,4/13/2021,73,1,9,8,1,1,8,1,3,1,3,4,12,12,1,.786793347546302, ,5,6,4,5,3,6,2,6,1,1,3,3,2,4,2,6,6,6,5,6,1,1,1,5,6,1,1,2, ,1,1,1,1, ,1,1,2,1
7,4/13/2021,4/13/2021,89,1,8,5,1,1,8,1,2,1,2,5,16,16,3,.779647931860624, ,5,6,6,2,5,3,5,5,1,3,6,4,2,4,5,5,6,5,6,5,2,2,3,2,3,2,2,3, ,1,1,1,1, ,1,1,2,7
8,4/13/2021,4/13/2021,60,1,3,2,1,3,3,1,2,1,2,5,18,18,1,.799998479083199, ,6,6,6,6,1,6,1,2,1,1,1,1,1,3,5,6,6,6,6,6,1,2,4,1,6,3,1,2, ,1,1,1,2, ,1,7,2,7
9,4/13/2021,4/13/2021,75,2,17,16,1,1,5,1,6,1,6,1,7,7,2,1.42173565570129, ,6,6,6,1,6,6,1,6,1,1,6,1,6,6,1,1,1,6,1,3,1,1,3,6,3,1,1,1, ,1,1,1,1, ,7,7,1,1
10,4/14/2021,4/14/2021,68,1,17,16,6,6,9,2, ,2, ,3,9,9,3,1.60064456690076, ,5,4,3,4,3,3,2,4,3,3,3,4,3,5,4,5,3,4,4,4,3,5,4,4,5,4,4,5, ,4,4,4,2, ,1,7,2,1
11,4/13/2021,4/13/2021,37,1,6,6,6,5,6,1,3,99, ,3,9,9,4,1.09496632681022, ,4,2,5,4,4,3,3,6,4,2,4,2,6,3,5,5,5,4,1,4,1,5,3,6,3,3,4,6, ,2,3,3,5, ,4,7,3,5
12,4/13/2021,4/13/2021,78,2,8,4,1,2,8,1,1,1,1,3,9,9,2,.771082565964474, ,3,6,2,3,3,6,5,6,1,2,3,5,2,5,5,5,6,6,2,4,1,2,2,3,6,4,3,1, ,2,5,3,1, ,1,7,2,7
13,4/13/2021,4/13/2021,51,2,3,3,4,5,2,99, ,1,2,5,11,11,2,.72945108681334, ,6,4,6,2,1,1,1,1,1,1,4,3,1,6,1,1,1,1,6,3,1,1,1,1,6,1,1,1, ,1,1,1,1, ,2,5,1,1
14,4/13/2021,4/13/2021,62,1,16,15,6,4,2,1,6,1,6,2,6,6,2,1.02360207499177, ,4,6,6,3,3,4,1,5,1,1,4,3,1,5,2,3,4,4,4,3,1,1,3,4,2,3,1,1, ,1,2,1,1, ,1,7,2,7
15,4/13/2021,4/13/2021,32,2,7,4,2,3,9,1,1,1,6,3,11,11,2,.824805146136749, ,2,3,4,2,4,3,2,4,2,2,4,3,1,5,3,2,2,3,4,3,2,2,4,3,4,4,2,3, ,2,5,4,2, ,1,7,2,1
16,4/13/2021,4/13/2021,48,2,15,5,1,1,3,1,3,1,3,5,16,16,1,.619831551066507, ,5,4,3,4,3,5,1,2,1,1,3,2,3,3,2,5,6,5,5,5,1,2,3,1,5,2,2,2, ,1,1,2,2, ,3,5,1,7
17,4/13/2021,4/13/2021,53,1,1,1,1,3,1,1,2,1,2,5,17,17,1,.9447008085418, ,6,6,6,2,3,6,1,5,1,1,1,1,3,2,3,6,6,6,6,6,1,2,2,1,5,1,2,1, ,1,1,1,2, ,1,7,2,7
18,4/13/2021,4/13/2021,84,1,6,6,1,2,5,1,98,1,2,2,9,9,2,.79898888159542, ,5,6,6,3,4,5,1,6,1,6,5,1,1,2,2,6,6,6,6,6,1,2,2,3,6,2,2,2, ,1,1,1,2, ,7,7,1,7
