ID,starttime,endtime,age,profile_gender,profile_gross_household,profile_gross_personal,profile_marital_stat,profile_socialgrade_cie,profile_GOR,voted_ge_2019,pastvote_ge_2019,voted2017,pastvote_2017,profile_education_age,profile_education_level,lprofile_education_level,pastvote_EURef,WEIGHT,UoE_1,UoE_1_1,UoE_1_2,UoE_1_3,UoE_1_4,UoE_1_5,UoE_1_6,UoE_1_7,UoE_1_8,UoE_1_9,UoE_1_10,UoE_1_11,UoE_1_12,UoE_1_13,UoE_1_14,UoE_1_15,UoE_1_16,UoE_1_17,UoE_1_18,UoE_1_19,UoE_1_20,UoE_1_21,UoE_1_22,UoE_1_23,UoE_1_24,UoE_1_25,UoE_1_26,UoE_1_27,UoE_1_28,UoE_2,UoE_2_1,UoE_2_2,UoE_2_3,UoE_3,UoE_4,UoE_4_1,UoE_4_2,UoE_5,UoE_6
19,4/13/2021,4/13/2021,38,2,17,16,2,4,11,1,3,1,2,4,12,12,1,1.19724664310637, ,3,4,3,3,3,6,3,5,2,3,4,4,3,4,3,5,6,3,5,4,1,2,4,2,6,3,4,3, ,1,2,2,1, ,1,1,2,1
20,4/13/2021,4/13/2021,56,1,5,5,6,3,2,1,2,1,2,3,6,6,3,.901861887128852, ,4,4,3,3,3,4,3,3,2,1,4,4,2,4,4,4,4,5,5,5,2,3,1,4,4,1,2,4, ,2,1,2,1, ,3,5,1,1
21,4/13/2021,4/13/2021,47,1,10,6,6,4,8,1,1,1,1,5,11,11,2,1.2173040228406, ,5,5,6,5,3,6,1,1,1,1,2,1,3,2,5,5,6,6,6,6,1,1,1,1,6,2,1,2, ,1,2,2,1, ,1,7,1,7
22,4/13/2021,4/13/2021,72,1,11,16,1,2,9,1,1,1,1,2,16,16,2,.827695755122431, ,5,6,2,3,2,2,5,3,1,1,6,2,1,3,1,1,6,6,1,5,1,1,6,3,6,5,1,2, ,5,5,5,1, ,1,1,2,1
23,4/14/2021,4/14/2021,92,1,5,16,5,3,7,1,1,1,1,4,11,11,2,1.20849996283353, ,4,6,5,4,3,6,1,6,1,1,5,5,1,5,4,6,6,5,5,4,1,2,1,2,6,1,3,3, ,1,2,1,1, ,7,7,2,7
24,4/13/2021,4/13/2021,64,1,17,1,7,4,8,2, ,1,1,2,9,9,2,.93634662250418, ,4,5,3,3,3,5,2,3,2,2,3,3,4,4,3,5,4,4,5,4,2,3,4,3,4,4,3,3, ,4,2,2,1, ,1,7,2,7
25,4/13/2021,4/13/2021,46,1,9,9,1,3,5,1,7,1,2,2,18,18,2,.91791987679259, ,6,3,3,2,2,2,2,3,2,2,3,4,2,3,3,4,4,5,4,5,2,3,3,2,6,2,4,2, ,2,2,2,2, ,1,7,2,7
26,4/13/2021,4/13/2021,79,1,3,3,2,6,4,1,2,1,4,3,18,18,3,.713272194732169, ,1,5,3,1,3,1,1,3,1,1,5,2,3,3,1,2,4,4,3,3,1,1,4,3,3,3,2,3, ,1,1,1,1, ,4,7,1,1
27,4/13/2021,4/13/2021,39,2,17,16,6,4,7,2, ,2, ,2,16,16,3,2.0395458122602, ,6,3,3,6,3,4,5,3,2,4,4,3,2,3,4,1,4,3,2,4,1,1,3,5,4,3,1,3, ,6,6,6,1, ,6,7,4,6
28,4/13/2021,4/13/2021,75,2,16,16,1,2,2,1,2,1,2,5,18,18,1,.708117809365024, ,6,6,6,6,2,6,1,1,1,1,1,1,1,3,2,3,6,6,6,6,1,2,4,2,6,1,3,3, ,2,2,2,2, ,1,7,2,7
29,4/13/2021,4/13/2021,55,1,2,2,6,4,6,1,2,1,2,3,11,11,1,.93180653031756, ,3,5,4,1,3,4,1,2,1,1,2,2,1,3,1,6,6,6,4,5,1,2,2,4,4,2,3,2, ,1,1,1,4, ,1,1,2,7
30,4/13/2021,4/13/2021,70,2,16,15,2,4,5,1,7,1,2,2,1,1,2,1.06279664265949, ,4,4,4,4,3,3,4,4,4,3,4,3,3,4,4,5,4,6,3,4,1,2,3,3,4,3,2,4, ,1,1,1,1, ,1,7,1,1
31,4/13/2021,4/13/2021,73,1,10,9,1,3,2,1,1,1,1,2,9,9,2,.910074484125074, ,5,5,5,3,2,6,2,5,1,2,3,1,3,2,3,5,4,5,3,5,2,2,4,2,5,3,2,2, ,1,2,1,2, ,1,1,2,7
32,4/13/2021,4/13/2021,36,2,17,1,6,4,7,1,2,1,99,5,16,16,3,1.68315003383253, ,5,5,4,3,4,6,2,4,1,1,4,3,4,3,2,6,4,6,6,6,1,1,3,1,4,2,1,3, ,1,1,1,1, ,7,7,1,7
33,4/13/2021,4/13/2021,78,2,3,3,4,6,5,1,1,1,1,2,9,9,2,.633741708424343, ,5,6,4,6,3,6,3,6,1,2,3,4,3,6,1,6,6,6,3,6,1,1,6,2,6,3,1,4, ,1,1,1,1, ,1,7,2,7
34,4/13/2021,4/13/2021,76,1,6,4,1,1,2,1,3,1,3,3,18,18,1,.63017577280861, ,5,6,3,3,3,3,5,6,1,1,1,3,1,4,3,6,6,6,6,5,1,2,2,3,5,2,2,2, ,1,2,1,2, ,1,1,2,7
35,4/13/2021,4/13/2021,43,1,14,13,1,3,8,1,3,1,2,5,16,16,1,1.2545490672036, ,3,6,3,5,6,6,1,4,1,1,1,1,2,3,5,6,5,6,5,5,1,1,3,2,5,1,1,2, ,1,1,1,2, ,1,7,1,1
36,4/13/2021,4/13/2021,29,2,10,10,6,4,10,2, ,1,2,5,16,16,2,1.00080271307748, ,6,6,6,6,3,6,2,1,1,1,2,1,1,4,3,5,4,6,6,6,1,2,4,1,6,4,2,3, ,2,2,2,1, ,2,7,2,7
37,4/13/2021,4/13/2021,73,1,7,6,1,3,8,1,3,1,1,3,9,9,1,.87391967349991, ,6,6,6,3,3,6,2,3,2,1,3,1,1,1,5,6,4,5,2,4,1,1,1,1,6,2,1,2, ,1,1,1,2, ,1,7,1,7
38,4/13/2021,4/13/2021,58,1,17,5,4,2,3,1,1,1,1,5,16,16,2,.912998441483033, ,6,5,6,2,4,2,1,5,1,1,3,1,1,3,3,5,5,5,5,5,1,2,3,2,5,2,2,3, ,1,1,1,1, ,1,7,1,1
39,4/13/2021,4/13/2021,54,1,17,16,1,2,2,1,2,1,2,5,16,16,1,.846991976136553, ,6,6,5,2,2,6,1,5,1,1,2,1,1,2,2,6,6,6,5,6,1,1,2,2,5,1,2,2, ,1,2,2,1, ,1,7,2,1
40,4/13/2021,4/13/2021,49,1,17,16,6,6,6,1,1,1,1,2,9,9,2,1.02178598072055, ,5,6,5,4,3,6,2,4,2,2,3,3,2,3,2,5,3,4,4,4,2,2,3,3,3,3,3,3, ,2,2,2,1, ,7,7,2,1
41,4/13/2021,4/13/2021,81,1,17,16,1,3,10,1,1,1,1,3,1,1,2,.838900708775932, ,3,2,2,5,6,4,5,5,1,5,3,2,6,6,3,5,1,5,2,5,1,4,1,2,6,1,3,3, ,1,1,1,1, ,1,7,2,7
42,4/14/2021,4/14/2021,48,1,11,11,1,3,7,1,2,1,99,5,16,16,1,1.70220485814035, ,6,2,4,5,5,6,1,2,2,1,4,2,1,4,3,6,6,6,6,6,1,1,3,3,5,1,1,2, ,1,1,1,1, ,1,1,2,7
43,4/13/2021,4/13/2021,44,2,11,5,1,1,4,1,2,1,7,4,16,16,1,.698428507217946, ,6,6,6,1,2,6,1,1,1,2,2,1,1,2,2,6,6,6,6,6,1,1,3,1,6,3,1,2, ,1,1,2,2, ,1,7,1,7
44,4/13/2021,4/13/2021,43,2,13,11,1,2,8,1,2,1,2,5,18,18,1,.617893037690774, ,6,6,6,3,3,6,1,1,1,1,1,1,1,3,2,5,6,4,5,4,1,2,2,2,4,3,2,2, ,1,1,1,1, ,7,7,2,1
45,4/13/2021,4/13/2021,77,2,4,4,4,4,10,1,1,1,1,3,14,14,1,1.03273519154935, ,4,6,6,1,2,6,1,1,1,1,3,3,1,3,2,5,5,6,6,6,1,3,2,2,5,2,2,2, ,1,1,1,2, ,1,7,1,7
46,4/13/2021,4/13/2021,74,1,17,15,2,3,2,2, ,1,2,1,5,5,2,.814201412114629, ,3,4,3,2,2,6,1,4,1,1,2,2,2,2,4,5,5,4,5,4,3,1,2,4,5,2,2,3, ,1,1,1,1, ,7,7,1,7
47,4/13/2021,4/13/2021,74,1,10,10,1,2,8,1,98,1,3,5,17,17,1,.708017251004244, ,6,6,5,2,1,6,1,6,1,1,1,1,1,1,3,6,6,5,6,6,1,1,6,4,6,4,1,3, ,1,1,1,1, ,1,7,1,7
48,4/13/2021,4/13/2021,76,1,13,8,1,1,11,1,1,1,1,5,16,16,2,.927868984351223, ,3,6,6,2,2,6,1,3,1,1,1,1,1,3,3,5,6,6,6,6,1,1,2,4,6,2,1,1, ,1,1,1,1, ,7,7,2,1
49,4/13/2021,4/13/2021,66,2,7,2,1,5,4,1,1,1,1,2,18,18,2,.631114468032324, ,6,5,4,5,4,5,4,2,4,5,4,4,2,6,4,5,4,5,3,5,1,2,2,5,6,2,3,2, ,1,1,1,1, ,1,7,2,4
50,4/13/2021,4/13/2021,53,2,3,2,4,4,3,1,2,1,1,2,9,9,2,.880523854547906, ,6,6,4,5,5,6,1,1,1,1,3,3,3,3,2,6,6,6,6,6,1,2,2,3,6,1,1,4, ,1,1,1,1, ,7,7,2,7
51,4/13/2021,4/13/2021,84,2,3,3,5,2,10,2, ,1,3,2,9,9,2,.666640240551902, ,3,6,3,4,4,6,1,3,1,3,3,3,3,4,5,6,6,4,6,6,1,5,2,6,6,2,2,3, ,2,2,1,1, ,7,7,1,1
52,4/13/2021,4/13/2021,79,1,6,6,1,1,8,1,1,1,1,2,18,18,2,.824264458600119, ,4,5,4,3,3,5,3,3,4,3,3,4,5,5,2,4,1,4,5,4,2,2,2,2,4,2,4,2, ,1,1,1,1, ,7,7,1,1
53,4/13/2021,4/13/2021,68,2,17,16,5,1,6,1,1,1,1,3,9,9,1,.792648601921093, ,3,3,3,3,3,3,2,1,2,2,4,2,3,4,5,5,6,6,5,5,2,2,1,2,5,2,3,2, ,1,1,1,2, ,1,7,1,7
54,4/13/2021,4/13/2021,73,1,17,15,2,3,7,1,1,1,1,3,9,9,2,1.20849996283353, ,6,5,5,2,4,6,3,3,1,1,4,3,3,5,4,5,4,6,6,5,1,3,3,3,6,2,1,3, ,1,1,1,2, ,1,7,2,1
55,4/13/2021,4/13/2021,35,2,11,8,1,2,6,1,2,1,2,5,18,18,2,.603583892692114, ,6,5,4,2,2,6,1,1,1,2,4,5,2,2,3,5,5,5,4,2,2,2,1,2,3,2,2,2, ,2,2,1,5, ,1,7,1,5
56,4/13/2021,4/13/2021,66,1,17,16,4,5,1,2, ,2, ,3,9,9,3,1.92706885030137, ,3,4,3,3,3,4,3,3,2,2,4,3,4,4,1,3,4,3,4,4,1,3,4,3,4,4,3,3, ,1,2,2,2, ,1,1,1,7
57,4/13/2021,4/13/2021,50,2,16,16,1,4,2,1,2,1,2,5,18,18,2,1.18402181295425, ,4,5,4,4,3,4,2,4,3,3,3,4,4,4,3,4,4,4,5,4,1,3,3,3,5,3,3,2, ,2,1,2,2, ,1,7,1,1
58,4/13/2021,4/13/2021,34,2,6,6,6,3,8,1,3,1,2,5,16,16,1,.859574439554817, ,5,3,4,3,3,4,3,4,2,3,4,3,3,3,3,2,3,6,2,3,1,3,3,2,4,3,2,3, ,1,1,1,1, ,2,7,1,7
59,4/13/2021,4/13/2021,68,2,2,2,4,6,4,1,1,1,1,2,1,1,2,.631114468032324, ,3,3,3,4,3,2,3,4,3,2,3,3,3,3,3,4,5,6,6,6,1,2,3,2,6,2,2,2, ,1,3,2,4, ,1,1,1,1
60,4/13/2021,4/13/2021,41,2,4,3,3,5,1,2, ,2, ,2,9,9,3,.643725460572363, ,5,5,2,1,3,3,3,5,1,2,3,2,3,5,4,2,1,4,3,4,2,3,5,5,5,4,1,3, ,5,5,5,4, ,1,1,2,4
61,4/13/2021,4/13/2021,69,1,10,10,1,3,11,1,1,1,1,5,18,18,1,1.05505027479821, ,6,6,6,2,2,2,1,6,1,1,1,1,4,2,5,6,6,6,5,5,1,2,3,2,6,2,3,3, ,3,2,3,1, ,1,7,2,7
62,4/13/2021,4/13/2021,53,1,9,6,1,5,11,1,1,1,1,2,9,9,2,.890470994299201, ,4,6,6,3,3,5,2,1,1,3,2,3,1,5,1,6,6,6,6,5,1,1,4,4,5,1,1,4, ,1,1,1,2, ,1,7,3,1
63,4/13/2021,4/13/2021,67,2,3,2,1,4,6,1,1,1,1,4,4,4,2,1.10098186589419, ,4,3,5,4,3,3,3,2,3,3,3,3,2,4,2,2,2,5,3,5,1,2,2,4,4,2,3,2, ,2,1,2,1, ,1,7,2,7
64,4/13/2021,4/13/2021,53,1,17,16,6,6,4,1,6,1,1,2,9,9,2,.572883844839216, ,2,4,6,6,2,6,1,5,1,1,3,2,3,6,5,1,3,4,5,4,2,3,6,6,4,6,1,3, ,4,4,4,1, ,1,1,2,7
65,4/13/2021,4/13/2021,64,1,17,16,1,1,5,1,99,1,99,2,16,16,1,.649173782160765, ,3,5,3,2,2,2,3,3,3,3,3,2,2,3,3,3,3,3,4,3,3,3,2,3,3,3,3,2, ,4,5,4,2, ,1,7,2,7
66,4/13/2021,4/13/2021,74,1,17,16,1,3,3,1,1,1,1,1,18,18,2,.913862995663866, ,4,4,5,3,4,5,2,4,2,3,4,3,2,4,4,5,5,5,4,4,2,3,2,2,4,2,2,3, ,2,2,2,1, ,7,7,2,1
67,4/13/2021,4/13/2021,85,2,16,15,5,1,8,1,3,1,1,2,1,1,1,.736029106896267, ,3,5,2,3,3,3,2,2,2,2,3,3,3,4,2,4,5,6,6,5,1,2,4,3,4,3,1,3, ,2,1,2,1, ,1,7,2,7
68,4/13/2021,4/13/2021,66,1,7,8,1,5,9,1,3,1,3,5,16,16,1,.701059889806279, ,6,6,6,5,2,6,1,5,1,1,1,1,1,1,2,6,6,6,6,6,1,2,3,1,6,2,2,2, ,1,1,1,3, ,1,7,2,7
69,4/13/2021,4/13/2021,83,1,7,2,1,2,8,1,2,1,2,3,20,20,2,.67277190121252, ,4,4,6,4,2,5,1,4,5,1,4,1,3,4,2,4,5,4,5,4,4,2,4,2,4,4,4,3, ,1,1,1,1, ,7,7,2,7
70,4/13/2021,4/13/2021,75,2,17,16,1,6,5,1,99,1,99,1,1,1,2,1.21273349099461, ,5,5,4,5,3,3,3,2,2,2,4,4,2,4,2,4,5,5,6,4,1,2,2,3,6,3,2,2, ,2,2,1,3, ,1,1,2,1
71,4/13/2021,4/13/2021,60,2,3,3,4,6,4,1,1,1,1,5,17,17,1,.768738873257896, ,6,4,3,3,3,4,3,5,3,3,3,3,2,4,2,3,4,4,4,4,1,2,5,4,6,4,3,2, ,5,5,5,5, ,1,1,2,7
72,4/13/2021,4/13/2021,46,1,7,8,1,4,5,1,1,1,1,5,16,16,2,1.55193955695408, ,6,4,2,2,1,6,1,2,1,1,5,1,6,2,1,6,6,6,6,5,1,1,4,2,4,3,1,2, ,1,2,1,1, ,1,7,1,1
73,4/13/2021,4/13/2021,71,1,4,3,6,4,3,1,1,1,1,1,3,3,2,1.16504105330407, ,5,6,6,1,2,6,1,2,1,1,3,2,1,3,3,5,5,6,6,5,1,1,3,4,1,4,1,4, ,1,1,1,1, ,1,7,1,1
74,4/13/2021,4/13/2021,46,2,6,4,2,5,8,1,2,1,2,1,18,18,1,.550563913976242, ,6,6,3,5,2,3,1,1,1,1,3,4,2,2,2,5,6,6,6,6,1,2,2,2,5,2,1,2, ,1,2,1,2, ,1,7,1,7
75,4/13/2021,4/13/2021,59,1,1,1,4,6,8,1,1,1,1,3,11,11,1,.712425799162993, ,5,6,5,5,4,6,1,5,1,1,1,1,1,2,4,1,5,5,5,5,1,5,2,2,4,2,2,3, ,2,4,2,1, ,1,1,1,1
76,4/13/2021,4/13/2021,68,2,9,5,2,2,8,1,1,1,1,3,11,11,2,.771082565964474, ,6,5,4,3,4,6,1,3,2,1,2,1,1,3,3,5,6,6,6,6,1,2,5,2,6,3,1,5, ,1,2,1,2, ,1,7,1,7
77,4/13/2021,4/13/2021,52,2,10,4,1,4,10,1,1,1,1,2,8,8,2,2.29932598170883, ,5,6,5,6,4,5,3,5,1,2,4,4,2,5,3,6,6,6,5,5,1,2,3,2,5,3,3,3, ,1,1,1,1, ,1,7,3,1
78,4/13/2021,4/13/2021,67,2,11,2,1,1,6,1,1,1,1,2,7,7,1,.78936259691943, ,6,4,3,5,4,6,2,2,1,2,3,4,5,5,5,5,5,5,4,5,2,2,5,5,6,3,5,3, ,5,5,5,5, ,7,7,2,7
79,4/13/2021,4/13/2021,71,1,6,4,1,4,4,1,1,1,1,2,5,5,2,1.08108207670828, ,5,5,5,3,3,3,3,5,2,3,4,3,3,4,3,5,4,6,6,6,1,3,4,4,6,3,3,3, ,1,2,1,1, ,1,7,2,7
80,4/13/2021,4/13/2021,68,1,6,3,1,5,6,1,1,1,1,2,11,11,2,.737505339475571, ,1,3,3,3,4,1,3,6,4,3,3,3,3,3,1,3,1,6,6,5,1,6,3,1,3,4,3,1, ,1,1,1,1, ,1,1,2,1
81,4/13/2021,4/13/2021,40,2,12,11,1,2,6,1,2,1,2,5,17,17,1,.677416048465154, ,6,6,5,3,5,6,1,1,1,1,2,1,1,1,2,6,6,6,6,6,1,1,1,2,5,1,2,2, ,1,1,1,2, ,1,5,1,1
82,4/13/2021,4/13/2021,43,1,5,5,6,3,1,1,2,1,2,4,9,9,2,1.14738577896161, ,2,4,4,3,4,2,3,3,4,3,3,2,3,2,4,2,3,2,2,3,4,3,2,4,3,2,4,3, ,4,3,3,5, ,3,5,4,1
83,4/14/2021,4/14/2021,75,1,17,16,2,3,11,1,4,1,4,2,3,3,2,.81430696248665, ,3,3,5,1,3,5,3,2,1,1,3,4,2,4,2,4,2,3,4,4,2,3,2,3,4,3,3,3, ,1,1,1,1, ,1,1,2,7
84,4/13/2021,4/13/2021,63,1,4,4,4,4,3,1,2,1,2,1,1,1,3,3.38301241601979, ,4,4,4,3,3,4,3,3,4,4,3,3,4,3,3,4,4,4,3,4,4,4,3,3,3,4,3,4, ,3,3,3,1, ,3,5,2,2
85,4/13/2021,4/13/2021,55,1,10,8,1,4,11,1,2,1,4,3,11,11,2,1.00506543371796, ,4,5,5,3,5,4,2,2,2,3,2,4,3,4,2,6,5,5,6,3,1,1,3,2,4,3,2,2, ,1,2,1,1, ,1,7,2,1
86,4/13/2021,4/13/2021,49,1,13,8,1,2,8,1,1,1,1,3,11,11,2,.852549836257719, ,5,6,6,4,3,6,1,3,6,1,1,1,1,3,2,4,4,5,4,5,1,1,5,2,4,3,1,3, ,5,5,5,1, ,1,7,1,1
87,4/13/2021,4/13/2021,70,1,7,6,1,5,2,1,2,1,2,1,1,1,1,1.73151016546839, ,5,3,3,3,3,3,3,4,1,3,3,4,2,3,4,2,4,4,4,3,1,3,3,2,3,4,3,4, ,3,3,3,1, ,1,7,2,1
88,4/14/2021,4/14/2021,71,1,5,4,1,3,8,2, ,1,2,5,18,18,2,.676284641547912, ,4,5,5,2,4,3,2,4,1,1,4,2,3,4,3,1,5,5,4,4,1,2,2,2,4,2,2,2, ,1,1,1,1, ,1,7,1,1
89,4/13/2021,4/13/2021,44,1,16,15,1,6,10,1,2,1,2,5,16,16,1,.870281625947122, ,6,6,6,6,3,6,1,6,1,2,3,6,1,6,6,6,6,6,6,6,1,1,1,1,6,3,1,1, ,1,1,1,1, ,7,7,2,7
90,4/13/2021,4/13/2021,78,1,6,5,1,1,3,1,1,1,1,2,18,18,2,.815946994827245, ,6,6,6,3,3,1,2,1,1,1,4,5,2,5,4,5,2,6,6,6,1,4,3,2,6,2,2,2, ,1,2,1,1, ,1,1,2,1
91,4/13/2021,4/13/2021,40,1,17,16,1,2,8,1,1,2, ,1,9,9,2,1.14674141815352, ,4,3,3,3,4,4,3,3,3,4,3,3,3,3,4,3,3,3,3,2,4,4,2,3,4,3,4,3, ,3,3,3,5, ,1,7,4,5
92,4/13/2021,4/13/2021,74,2,6,3,1,3,7,1,1,1,1,5,16,16,2,1.13052703241901, ,6,6,6,1,4,5,5,1,1,1,3,1,1,3,5,5,5,6,5,6,1,4,5,1,5,1,2,1, ,1,1,1,1, ,1,7,1,7
93,4/13/2021,4/13/2021,42,1,4,4,6,4,2,1,3,1,99,5,16,16,1,1.29168649888588, ,6,6,6,5,2,6,1,3,1,1,1,1,1,2,3,6,6,6,6,6,1,3,2,2,6,2,1,3, ,1,2,2,1, ,1,1,1,1
94,4/13/2021,4/13/2021,47,2,13,9,2,2,8,1,2,1,2,5,16,16,1,.680236035796895, ,5,5,3,2,4,3,1,4,2,2,4,3,2,4,4,5,5,5,3,5,1,1,3,2,5,3,1,2, ,2,1,2,3, ,1,1,1,2
95,4/14/2021,4/14/2021,74,1,7,7,3,3,8,2, ,1,3,5,16,16,1,.692317300990022, ,6,6,6,4,2,6,1,4,1,1,2,1,3,2,5,4,6,6,5,6,1,2,2,2,5,2,3,3, ,1,2,2,2, ,7,7,2,7
96,4/13/2021,4/13/2021,53,2,2,4,4,5,9,1,3,1,2,1,1,1,2,1.46016186117525, ,4,4,4,5,4,3,4,4,2,3,3,4,2,3,2,3,4,4,4,4,2,4,3,3,4,4,4,2, ,1,2,2,2, ,1,7,2,7
97,4/13/2021,4/13/2021,75,1,2,2,1,1,5,1,1,2, ,1,1,1,2,1.94374273306055, ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, ,4,4,4,1, ,1,1,2,7
98,4/13/2021,4/13/2021,72,2,16,15,1,2,8,1,1,1,1,4,11,11,2,.771082565964474, ,5,3,3,6,3,3,3,6,3,3,3,3,3,3,1,3,6,6,6,6,1,1,4,1,3,5,1,1, ,1,1,1,1, ,1,7,2,1
99,4/13/2021,4/13/2021,51,2,7,7,6,3,1,1,2,1,7,5,17,17,1,.943669043547908, ,6,6,6,2,3,6,1,1,1,1,1,1,1,2,2,6,6,6,5,4,1,1,2,1,6,1,3,2, ,1,2,1,2, ,1,1,2,7
